name
 Gilles Margaritis
Virginia Karns
 Charlotte Henry
 Felix Knight
 Florence Roberts
 James Dunn
 Claire Trevor
 Alan Dinehart
 Bela Lugosi
 Julie Bishop
 Jane Darwell
 Judith Allen
Fred Astaire
 Ginger Rogers
 Alice Brady
 Edward Everett Horton
 Claudette Colbert
 Walter Connolly
 Roscoe Karns
Leslie Banks
 Edna Best
 Peter Lorre
 Frank Vosper
 Madge Evans
 Sylvia Froos
Maureen O'Sullivan
 Paul Cavanagh
 Forrester Harvey
William Powell
 Myrna Loy
 Maureen O'Sullivan
 Nat Pendleton
Adolf Hitler
 Max Amann
 Martin Bormann
 Walter Buch
John Barrymore
 Carole Lombard
Robert Donat
 Madeleine Carroll
 Lucie Mannheim
 Godfrey Tearle
 Colin Clive
 Valerie Hobson
 Ernest Thesiger
Errol Flynn
 Olivia de Havilland
 Lionel Atwill
 Basil Rathbone
 Rochelle Hudson
 Jack Holt
 Clark Gable
 Franchot Tone
 Herbert Mundin
Groucho Marx
 Kitty Carlisle
 Rosemary Ames
 Joel McCrea
 Lyle Talbot
 Brian Aherne
 Edmund Gwenn
 Erik Rhodes
 James Stewart
 Elissa Landi
 Guy Kibbee
 Slim Summerville
 Buddy Ebsen
 Frank Morgan
 Robert Kent
 Helen Westley
Walter Huston
 Ruth Chatterton
 Randolph Scott
 Harriet Hilliard
Sylvia Sidney
 Spencer Tracy
 Walter Abel
Nino Martini
 Ida Lupino
 Leo Carrillo
 Harold Huber
 Luise Rainer
Jean Harlow
 William Powell
Freddie Bartholomew
 Dolores Costello
 C. Aubrey Smith
 Paulette Goddard
 Tiny Sandford
Gary Cooper
 Jean Arthur
 George Bancroft
 Lionel Stander
 Gail Patrick
Leslie Howard
 Bette Davis
 Genevieve Tobin
 Dick Foran
 Alice Faye
 Jack Haley
 Oskar Homolka
 Desmond Tester
 John Loder
 Robert Young
 Eugene Pallette
 Victor Moore
 Helen Broderick
Dorothy Short
 Kenneth Craig
 Lillian Miles
 Dave O'Brien
Irene Dunne
 Ralph Bellamy
 Alexander D'Arcy
 George Burns
 Gracie Allen
 Joan Fontaine
 Allan Jones
 Tilly Losch
Jean Gabin
 Pierre Fresnay
 Erich von Stroheim
 Arthur Treacher
Tyrone Power
 Don Ameche
Paul Robeson
 Cedric Hardwicke
 Roland Young
 Anna Lee
 Gale Sondergaard
 Joseph Schildkraut
 Gloria Holden
Ronald Colman
 Jane Wyatt
 John Howard
Carole Lombard
 Fredric March
 Charles Winninger
 Gabriel Gabrio
 Saturnin Fabre
 Fernand Charpin
 Eric Blore
Roy Atwell
 Stuart Buchanan
 Adriana Caselotti
 Hall Johnson Choir
Janet Gaynor
 May Robson
Barbara Stanwyck
 Anne Shirley
 Barbara O'Neil
Constance Bennett
 Billie Burke
 Victor McLaglen
 June Lang
 Henry Fonda
 Barton MacLane
 Jean Dixon
 Claude Rains
 Pat O'Brien
 Humphrey Bogart
 Ann Sheridan
 Walter Catlett
Reginald Owen
 Gene Lockhart
 Kathleen Lockhart
 Terry Kilburn
 Doris Nolan
Bette Davis
 Margaret Lindsay
 Joan Davis
 Charles Farrell
 Amanda Duff
Margaret Lockwood
 Michael Redgrave
 Dame May Whitty
 George Murphy
 Phyllis Brooks
 Wendy Hiller
 Wilfrid Lawson
 Marie Lohr
 Lucille Ball
Jean Arthur
 Virginia Grey
 Otto Kruger
 Kenny Baker
 Geraldine Fitzgerald
Marlene Dietrich
 Mischa Auer
Anton Walbrook
 Diana Wynyard
 Frank Pettingell
 Cathleen Cordell
Thomas Mitchell
 Vivien Leigh
 Evelyn Keyes
 Greer Garson
 John Mills
Jessica Dragonette
 Lanny Ross
Cary Grant
 Sam Jaffe
Richard Greene
 Wendy Barrie
 Nigel Bruce
 Thomas Mitchell
 Maureen O'Hara
 Horace Hodges
 Hay Petrie
 Richard Greene
 Anita Louise
 Ian Hunter
 Charles Coburn
 Lucile Watson
 Melvyn Douglas
 Ina Claire
Burgess Meredith
 Betty Field
 Lon Chaney Jr.
 Charles Bickford
 Richard Barthelmess
 Rita Hayworth
Nora Gregor
 Paulette Dubost
 Mila Parély
 Odette Talazac
Basil Rathbone
Claire Trevor
 Andy Devine
 John Carradine
 Margaret Lockwood
 Martin Good Rider
Johnny Weissmuller
 Johnny Sheffield
John Garfield
 The 'Dead End' Kids
Judy Garland
 Ray Bolger
 Bert Lahr
Norma Shearer
 Rosalind Russell
 Mary Boland
Merle Oberon
 Laurence Olivier
 David Niven
 Flora Robson
W.C. Fields
 Cora Witherspoon
 Evelyn Del Rio
Leopold Stokowski
 Deems Taylor
Joel McCrea
 Laraine Day
 George Sanders
 John Carroll
Henry Fonda
 Charley Grapewin
 Jack Oakie
 Reginald Gardiner
 Henry Daniell
 James Stephenson
 Frieda Inescort
 Linda Darnell
Dick Foran
 Peggy Moran
 Wallace Ford
 Eduardo Ciannelli
 W.C. Fields
 Joseph Calleia
William Holden
 Martha Scott
 Fay Bainter
 Beulah Bondi
 Katharine Hepburn
 Ruth Hussey
Mel Blanc
 Don Brodie
 Marion Darlington
Edward Ashley
 Marten Lamont
 E.E. Clive
 Marjorie Wood
Laurence Olivier
 Judith Anderson
Bing Crosby
 Dorothy Lamour
 Bob Hope
 Raymond Massey
 Ronald Reagan
Margaret Sullavan
George Raft
Vivien Leigh
 Robert Taylor
 Virginia Field
 Barbara Stanwyck
 Tony Martin
Joseph Cotten
 Dorothy Comingore
 Agnes Moorehead
 Ruth Warrick
Spencer Tracy
 Ingrid Bergman
 Lana Turner
James Baskett
 Herman Bing
 Billy Bletcher
 Edward Brophy
Richard George
 Eric Portman
 Raymond Lovell
 Niall MacGinnis
Ida Lupino
 Alan Curtis
 Arthur Kennedy
Walter Pidgeon
Robert Taylor
 Van Heflin
 Teresa Wright
 Richard Carlson
Humphrey Bogart
 Gladys George
 Monty Woolley
 Richard Travis
 Walter Brennan
 Robert Montgomery
 Jack Carson
 Gloria Jean
 Leon Errol
 Billy Lenhart
 Edgar Buchanan
 Joan Leslie
 George Tobias
 Barry Nelson
 Donna Reed
 Veronica Lake
 Robert Warwick
 William Demarest
Lon Chaney Jr.
 Warren William
Stan Laurel
 Oliver Hardy
 Dante
 Sheila Ryan
Hardie Albright
 Stan Alexander
 Bobette Audrey
 Peter Behn
 Paul Henreid
Simone Simon
 Kent Smith
 Tom Conway
 Jane Randolph
 Paul Kelly
Brian Donlevy
 Alan Ladd
 Bonita Granville
 Dennis Morgan
 Fred Astaire
 Marjorie Reynolds
 Virginia Dale
Sabu
 John Qualen
 Frank Puglia
Ann Sheridan
 Robert Cummings
 Anne Baxter
 Tim Holt
Ginger Rogers
 Ray Milland
 Rita Johnson
 Robert Benchley
Greer Garson
 Walter Pidgeon
 John Hubbard
 Elyse Knox
 Gladys Cooper
Claudette Colbert
 Rudy Vallee
 Babe Ruth
 Philip Dorn
 Susan Peters
 Anthony Quinn
Priscilla Lane
 Alan Baxter
 Ronald Colman
Meg Ryan
 Hugh Jackman
 Liev Schreiber
 Breckin Meyer
Veronica Lake
